ano,sigla_uf,id_municipio,id_municipio_tse,situacao_biometria,zona,secao,genero,estado_civil,grupo_idade,instrucao,eleitores,eleitores_biometria,eleitores_deficiencia,eleitores_inclusao_nome_social
2022,PB,2507507,20516,biometrico,70,461,feminino,casado(a),30 a 34 anos,ensino medio completo,14,14,0,0
2022,PB,2507507,20516,biometrico,77,201,feminino,solteiro(a),25 a 29 anos,ensino superior incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,77,101,masculino,solteiro(a),40 a 44 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,70,406,masculino,solteiro(a),21 a 24 anos,ensino medio incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,77,311,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,13,13,0,0
2022,PB,2507507,20516,biometrico,70,507,feminino,solteiro(a),25 a 29 anos,ensino superior incompleto,14,14,0,0
2022,PB,2507507,20516,biometrico,70,518,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,27,26,0,0
2022,PB,2507507,20516,biometrico,70,489,masculino,solteiro(a),25 a 29 anos,ensino superior incompleto,17,17,0,0
2022,PB,2507507,20516,biometrico,77,76,feminino,casado(a),45 a 49 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,77,177,masculino,casado(a),35 a 39 anos,ensino medio completo,15,15,0,0
2022,PB,2507507,20516,biometrico,76,309,feminino,casado(a),55 a 59 anos,ensino superior completo,10,10,0,0
2022,PB,2507507,20516,biometrico,70,527,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,12,12,0,0
2022,PB,2507507,20516,biometrico,77,91,feminino,solteiro(a),35 a 39 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,70,652,feminino,solteiro(a),21 a 24 anos,ensino superior incompleto,13,12,0,0
2022,PB,2507507,20516,biometrico,64,155,feminino,solteiro(a),30 a 34 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,1,53,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,12,12,0,0
2022,PB,2507507,20516,biometrico,77,34,masculino,solteiro(a),35 a 39 anos,ensino medio incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,70,509,feminino,solteiro(a),25 a 29 anos,ensino superior incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,1,139,feminino,solteiro(a),25 a 29 anos,ensino medio incompleto,11,11,0,0
2022,PB,2507507,20516,biometrico,77,341,masculino,solteiro(a),25 a 29 anos,ensino medio incompleto,17,17,0,0
2022,PB,2507507,20516,biometrico,76,301,feminino,solteiro(a),25 a 29 anos,ensino superior incompleto,10,10,0,0
2022,PB,2507507,20516,biometrico,77,212,feminino,solteiro(a),30 a 34 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,77,84,feminino,casado(a),35 a 39 anos,ensino medio completo,17,17,0,0
2022,PB,2507507,20516,biometrico,70,139,feminino,casado(a),55 a 59 anos,ensino medio completo,13,13,0,0
2022,PB,2507507,20516,biometrico,70,506,masculino,solteiro(a),25 a 29 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,76,214,feminino,solteiro(a),30 a 34 anos,ensino medio completo,9,9,0,0
2022,PB,2507507,20516,biometrico,76,26,feminino,casado(a),40 a 44 anos,ensino superior completo,10,10,0,0
2022,PB,2507507,20516,biometrico,76,91,masculino,solteiro(a),30 a 34 anos,ensino superior incompleto,9,9,0,0
2022,PB,2507507,20516,biometrico,70,494,feminino,solteiro(a),25 a 29 anos,ensino medio completo,25,25,0,0
2022,PB,2507507,20516,biometrico,1,205,feminino,casado(a),35 a 39 anos,ensino superior completo,9,9,0,0
2022,PB,2507507,20516,biometrico,76,24,feminino,casado(a),40 a 44 anos,ensino superior completo,10,10,0,0
2022,PB,2507507,20516,biometrico,70,545,feminino,solteiro(a),25 a 29 anos,ensino medio completo,11,11,0,0
2022,PB,2507507,20516,biometrico,64,419,masculino,solteiro(a),40 a 44 anos,ensino medio completo,10,10,0,0
2022,PB,2507507,20516,biometrico,77,252,feminino,solteiro(a),21 a 24 anos,ensino medio incompleto,11,10,0,0
