id,turno,regiao,estado,municipio,zona,local,secao,vPresA22,vPresB13,vPresNulo,vPresBranco,vGovA,vGovB,vGovNulo,vGovBranco,qEleitAptos,qComparecimento,qEleitLibCodigo,qEleitBiometrico,modelUrna,jaVotou,arquivoBU,dataHoraAbertura,dataHoraEncerramento
595221,2,NE,PB,20516,76,1708,127,141,195,8,4,140,192,8,3,410,348,19,339,UE2020,,o00407-2051600760127.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:51.000000
595222,2,NE,PB,20516,76,1015,229,180,144,7,3,161,139,13,3,405,334,11,318,UE2020,,o00407-2051600760229.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:49.000000
595223,2,NE,PB,20516,76,1686,252,154,133,12,6,161,122,16,6,359,305,24,305,UE2020,,o00407-2051600760252.bu,2022-10-30 08:00:01.000000,2022-10-30 17:03:20.000000
595224,2,NE,PB,20516,76,1740,337,187,138,9,3,171,150,7,5,406,337,16,328,UE2020,,o00407-2051600760337.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:26.000000
595225,2,NE,PB,20516,76,1589,218,164,148,10,1,179,130,6,2,395,323,10,306,UE2020,,o00407-2051600760218.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:27.000000
595226,2,NE,PB,20516,76,1880,249,190,133,4,5,164,138,10,7,392,332,23,319,UE2020,,o00407-2051600760249.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:24.000000
595227,2,NE,PB,20516,76,1708,385,90,259,15,5,117,220,19,8,412,369,10,215,UE2020,,o00407-2051600760385.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:20.000000
595228,2,NE,PB,20516,76,1562,322,167,159,12,3,176,149,13,3,385,341,8,335,UE2020,,o00407-2051600760322.bu,2022-10-30 08:00:28.000000,2022-10-30 17:01:45.000000
595229,2,NE,PB,20516,76,1589,291,186,145,9,3,185,137,12,5,392,343,28,318,UE2020,,o00407-2051600760291.bu,2022-10-30 08:00:01.000000,2022-10-30 17:00:13.000000
595230,2,NE,PB,20516,76,1465,284,176,187,5,0,175,175,12,6,417,368,17,351,UE2020,,o00407-2051600760284.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:24.000000
595231,2,NE,PB,20516,76,1015,351,172,149,10,3,165,141,10,6,404,334,9,325,UE2020,,o00407-2051600760351.bu,2022-10-30 08:00:01.000000,2022-10-30 17:01:26.000000
595232,2,NE,PB,20516,76,1325,213,128,187,10,7,173,139,14,6,382,332,7,309,UE2020,,o00407-2051600760213.bu,2022-10-30 08:00:01.000000,2022-10-30 17:03:02.000000
595233,2,NE,PB,20516,76,1015,186,196,146,6,4,193,131,9,4,407,352,18,338,UE2020,,o00407-2051600760186.bu,2022-10-30 08:00:01.000000,2022-10-30 17:02:08.000000
